State,Seats
West Bengal,17
Uttarakhand,5
Uttar Pradesh,60
Telangana,2
Rajasthan,20
Punjab,2
Odisha,7
Maharashtra,20
Madhya Pradesh,20
Karnataka,13
Jharkhand,7
Himachal Pradesh,2
Haryana,8
Gujarat,26
Chhattisgarh,6
Bihar,15
