State,Seats
West Bengal,25
Uttar Pradesh,20
Telangana,10
Tamil Nadu,40
Rajasthan,5
Punjab,11
Odisha,2
Maharashtra,28
Madhya Pradesh,9
Kerala,20
Karnataka,15
Jharkhand,7
Himachal Pradesh,2
Haryana,2
Chhattisgarh,5
Bihar,25
